activity_id,split,reporting_orgs,start_year,rating,finance,integratedness,implementer_performance,targets,context,risks,complexity,activity_scope,gdp_percap,cpia_score,region_AFE,region_AFW,region_EAP,region_ECA,region_LAC,region_MENA,region_SAS,finance_is_loan,planned_duration,planned_expenditure,rep_org_0,rep_org_1,rep_org_2,umap3_x,umap3_y,umap3_z,sector_distance,country_distance,sector_cluster_increased_food_production,sector_cluster_Green_growth_initiatives,sector_cluster_Road_safety_improvements,sector_cluster_Contingencies,sector_cluster_Improved_transport_infrastructure,sector_cluster_Capacity_Building_and_Technical_Assistance,sector_cluster_increased_managed_forest_land,sector_cluster_reduced_PM2.5_air_pollution,sector_cluster_Climate_adaptation,sector_cluster_Institutional_capacity_building,sector_cluster_reduced_CO2_emissions,sector_cluster_Project_Management,sector_cluster_more_people_with_drinking_water_services,sector_cluster_Land_acquisition_and_resettlement,sector_cluster_Urban_flood_protection,sector_cluster_Financing_charges,llm_features_missing_count,llm_features_present_ratio,governance_missing_count,feature_completeness_ratio,cpia_missing,sector_clusters_missing,gdp_percap_missing,planned_expenditure_missing,planned_duration_missing,wgi_any_missing,umap_missing,governance_composite,expenditure_x_complexity,expenditure_per_year_log,log_planned_expenditure
44000-P097325,train,World Bank,2012,3.0,85.0,85.0,90.0,70.0,60.0,40.0,80.0,0,6.9779468831685385,3.71666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.919917864476386,100000000.00000018,0,0,1,0.8131293058395386,2.5414974689483643,2.6258809566497803,0.591742217540741,0.5881557464599609,,,,,,,,,,,,,,,,,0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6259259700775154,8000000000.000014,,18.420680743952367
44000-P111163,train,World Bank,2010,5.0,85.0,85.0,90.0,60.0,65.0,20.0,75.0,3,9.495755989508307,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.863791923340178,134164078.6499876,0,0,1,-1.6907931566238403,1.8109917640686035,3.997713804244995,0.6145631670951843,0.6165940165519714,,,,,,,,,,,,,,,,,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.38575651049613935,10062305898.74907,16.78831402887594,18.714574076403427
44000-P162671,test,World Bank,2017,4.0,70.0,85.0,95.0,85.0,90.0,40.0,40.0,0,6.9074097803043415,4.04166666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.620807665982204,126214103.80777597,0,0,1,2.1178677082061768,3.586024045944214,0.00680228415876627,0.5586277842521667,0.5967414975166321,,,,,,,,,,,,,,,,,0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2113054275512694,5048564152.311039,18.170565675163125,18.653490259416323
44000-P110481,train,World Bank,2008,4.0,85.0,85.0,85.0,70.0,95.0,40.0,70.0,3,9.211502495049508,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.25119780971937,64660000.000000045,0,0,1,,,,,,,,,,,,,,,,,,,,,,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.21985541433095937,4526200000.000003,16.32619712544899,17.984653330261562
44000-P073689,train,World Bank,2002,2.0,85.0,85.0,85.0,70.0,20.0,70.0,70.0,3,6.300780846027147,3.54166666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9986310746064335,79999999.99999993,0,0,1,,,,,,0.0,0.0,0.6260000000000001,0.0,0.10712500000000003,0.008875000000000001,0.0,0.0,0.0,0.0,0.0,0.14312500000000003,0.0,0.0,0.0,0.11487500000000002,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11672174632549279,5599999999.999995,16.406005903673496,18.197537192638155
44000-P100101,train,World Bank,2009,3.0,85.0,85.0,75.0,75.0,85.0,70.0,40.0,3,7.899770695425929,3.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,201424923.9791344,0,0,1,4.021809101104736,3.8072118759155273,1.6268455982208252,0.583285391330719,0.6178818941116333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3552662054076795,8056996959.165377,17.041485742532384,19.120927284212218
44000-P115386,train,World Bank,2011,0.0,75.0,85.0,85.0,70.0,70.0,40.0,70.0,3,6.693256373564571,3.425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,314999999.9999999,0,0,1,0.8990499973297119,2.4153809547424316,2.976360321044922,0.6697827577590942,0.6422315835952759,0.0,0.0,0.0,0.0,0.15873015873015872,0.12571428571428572,0.0,0.0,0.0,0.0,0.0,0.22412698412698415,0.0,0.0,0.0,0.4914285714285714,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2161760568618785,22049999999.999992,17.776323727561852,19.568083196789907
44000-P167263,test,World Bank,2018,3.0,75.0,85.0,85.0,65.0,70.0,40.0,70.0,0,7.7357106667543265,2.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0095824777549622,5000000.000000003,0,0,1,0.4829958379268646,2.541059732437134,2.696906089782715,0.6068059802055359,0.5769218802452087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23931321352720253,350000000.0000002,14.727021492414668,15.424948470398375
44000-P112158,train,World Bank,2011,2.0,85.0,85.0,90.0,70.0,85.0,70.0,85.0,3,8.502166958517233,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.082819986310746,,0,0,1,3.7273788452148438,3.858330011367798,0.22167135775089264,0.6201183199882507,0.6335563063621521,0.0,0.0,0.0,0.0,0.0,0.02044452780643346,0.0,0.0,0.0,0.0,0.9795554721935664,0.0,0.0,0.0,0.0,0.0,0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.48365404903888704,,,
44000-P112893,train,World Bank,2011,2.0,85.0,85.0,85.0,75.0,70.0,75.0,75.0,3,7.277461971129388,3.28333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.912388774811773,33763886.032268226,0,0,1,3.8830864429473877,4.170070171356201,0.09857635200023651,0.6369491815567017,0.6691179275512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9456569671630849,2532291452.420117,15.970754201359485,17.334902328658544
44000-P150475,val,World Bank,2015,4.0,75.0,90.0,85.0,70.0,85.0,40.0,75.0,0,8.97638710753937,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.514031485284052,1962141687.0348613,0,0,1,0.369480699300766,4.068640232086182,4.717039585113525,0.6472622156143188,0.6258591413497925,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2717041566967963,147160626527.6146,20.982526460204735,21.39730241109626
44000-P154255,test,World Bank,2016,4.0,90.0,85.0,75.0,75.0,40.0,40.0,80.0,0,7.3030015919304825,3.325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.78302532511978,253740000.00000024,0,0,1,-1.4446828365325928,1.6572304964065552,4.4075608253479,0.5815179347991943,0.5631752014160156,,,,,,,,,,,,,,,,,0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0356569409370426,20299200000.00002,17.17899976032113,19.351820678676727
44000-P088220,train,World Bank,2005,2.0,75.0,85.0,90.0,75.0,85.0,85.0,75.0,3,9.536632681374712,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,130000000.00000003,0,0,1,1.0192395448684692,1.8822875022888184,5.0852437019348145,0.6070415377616882,0.6169618368148804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015846153846153847,0.0,0.0,0.984153846153846,0.0,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30480475146323427,9750000000.000002,16.891285539191802,18.683045008419857
44000-P159522,test,World Bank,2016,4.0,85.0,75.0,85.0,75.0,75.0,30.0,85.0,0,8.437737761677917,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.531827515400411,340293990.5434709,0,0,1,,,,,,,,,,,,,,,,,,,,,,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03695344924926744,28924989196.195026,17.626182769731024,19.64532048002479
44000-P113766,train,World Bank,2010,2.0,85.0,85.0,85.0,70.0,85.0,85.0,75.0,0,9.495755989508307,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,100399203.18408912,0,0,1,4.113551616668701,3.980485200881958,2.0753867626190186,0.6264437437057495,0.6469513773918152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38575651049613935,7529940238.8066845,17.038370467657064,18.424664828776955
44000-P132621,val,World Bank,2015,5.0,85.0,75.0,85.0,85.0,75.0,75.0,70.0,0,9.495755989508307,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,194992307.5405796,0,0,1,,,,,,0.0,0.0,0.9679264636263216,0.0,0.0,0.0,0.0,0.0,0.0,0.0320735363736784,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2395263373851774,13649461527.84057,17.47903275480596,19.08847066724006
44000-P006043,train,World Bank,1999,3.0,85.0,85.0,90.0,85.0,90.0,40.0,40.0,3,9.536632681374712,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.757700205338809,34641016.15137759,0,0,1,2.2485263347625732,4.198982238769531,0.2538197338581085,0.4811209440231323,0.5240355134010315,,,,,,,,,,,,,,,,,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09460918754339223,1385640646.0551035,14.738950293555854,17.36054897585232
44000-P125996,train,World Bank,2012,5.0,85.0,85.0,85.0,40.0,85.0,70.0,75.0,3,8.458989821988554,3.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.299794661190965,599416015.8020481,0,0,1,3.0301406383514404,3.1798791885375977,0.3020575940608978,0.5610002875328064,0.6119208335876465,0.0,0.0,0.0,0.09421231507397043,0.0,0.0,0.0,0.0,0.0,0.0,0.9057876849260298,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32909408509731286,44956201185.15361,18.370949392808452,20.211466432213008
44000-P120788,train,World Bank,2011,4.0,85.0,90.0,85.0,70.0,45.0,40.0,40.0,6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.153319644079398,,0,0,1,-0.505078136920929,3.3899097442626953,4.438116550445557,0.6226227283477783,0.6150689721107483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545454545454545,0.0,0.0,0.0,0.0,0.0,0.7454545454545454,0.0,0,1.0,6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,
44000-P064925,train,World Bank,2006,4.0,85.0,85.0,95.0,70.0,40.0,85.0,85.0,3,8.290250316554092,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.8507871321013,100000000.00000018,0,0,1,1.1539913415908813,2.203181505203247,3.8971006870269775,0.589830756187439,0.5492039918899536,,,,,,,,,,,,,,,,,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5732555970549592,8500000000.000015,16.65410453926403,18.420680743952367
